playerId	playerName	position	team	point
128214	A. Mitrovi\u0107	[{'y': 72, 'x': 64}, {'y': 90, 'x': 78}]	Serbia	37
214220	Alisson	[{'y': 37, 'x': 4}, {'y': 12, 'x': 8}]	Brazil	33
40810	Neymar	[{'y': 17, 'x': 51}, {'y': 7, 'x': 47}]	Brazil	122
15214	A. Rukavina	[{'y': 96, 'x': 45}, {'y': 100, 'x': 50}]	Serbia	10
265865	S. Milinkovi\u0107-Savi\u0107	[{'y': 83, 'x': 36}, {'y': 91, 'x': 45}]	Serbia	10
70122	N. Mati\u0107	[{'y': 30, 'x': 26}, {'y': 5, 'x': 46}]	Serbia	28
8306	A. Kolarov	[{'y': 5, 'x': 46}, {'y': 11, 'x': 30}]	Serbia	36
40707	F\u00e1gner	[{'y': 84, 'x': 54}, {'y': 91, 'x': 57}]	Brazil	25
127796	F. Kosti\u0107	[{'y': 16, 'x': 46}, {'y': 9, 'x': 43}]	Serbia	11
105333	Willian	[{'y': 96, 'x': 49}, {'y': 90, 'x': 44}]	Brazil	94
127671	V. Stojkovi\u0107	[{'y': 59, 'x': 15}, {'y': 48, 'x': 67}]	Serbia	29
20394	Thiago Silva	[{'y': 66, 'x': 30}, {'y': 29, 'x': 26}]	Brazil	68
20941	A. Ljaji\u0107	[{'y': 70, 'x': 70}, {'y': 91, 'x': 79}]	Serbia	8
11095	M. Veljkovic	[{'y': 19, 'x': 27}, {'y': 22, 'x': 38}]	Serbia	7
3434	Filipe Luis	[{'y': 22, 'x': 39}, {'y': 9, 'x': 54}]	Brazil	25
105339	Fernandinho	[{'y': 84, 'x': 45}, {'y': 98, 'x': 46}]	Brazil	46
140085	A. \u017divkovi\u0107	[{'y': 60, 'x': 70}, {'y': 83, 'x': 67}]	Serbia	5
14785	Renato Augusto	[{'y': 26, 'x': 64}, {'y': 29, 'x': 58}]	Brazil	11
237274	N. Radonji\u0107	[{'y': 12, 'x': 69}, {'y': 14, 'x': 67}]	Serbia	1
54	C. Eriksen	[{'y': 50, 'x': 50}, {'y': 38, 'x': 32}]	Denmark	77
55979	M. J\u00f8rgensen	[{'y': 38, 'x': 32}, {'y': 76, 'x': 75}]	Denmark	28
